{'type': 'Garden', 'atmosphere': 'Dense', 'diameter': 9000, 'density': 0.8, 'gravity': 0.91, 'hydro': 0.5}
{'type': 'Garden', 'atmosphere': 'Dense Tainted', 'diameter': 7000, 'density': 0.9, 'gravity': 0.79, 'hydro': 0.5}
{'type': 'Glacier', 'atmosphere': 'Suffocating', 'diameter': 6500, 'density': 1.0, 'gravity': 0.82, 'hydro': 0.0}
{'type': 'Garden', 'atmosphere': 'Very Thin', 'diameter': 6500, 'density': 0.8, 'gravity': 0.66, 'hydro': 0.4}
{'type': 'Garden', 'atmosphere': 'Thin', 'diameter': 5000, 'density': 1.2, 'gravity': 0.76, 'hydro': 0.6}
{'type': 'Garden', 'atmosphere': 'Very Thin', 'diameter': 5500, 'density': 1.0, 'gravity': 0.69, 'hydro': 0.8}
{'type': 'Garden', 'atmosphere': 'Dense', 'diameter': 8000, 'density': 1.0, 'gravity': 1.01, 'hydro': 0.2}
{'type': 'Garden', 'atmosphere': 'Dense', 'diameter': 8500, 'density': 0.8, 'gravity': 0.86, 'hydro': 0.4}
{'type': 'Barren (Rock)', 'atmosphere': 'None (vacuum).', 'diameter': 2000, 'density': 0.7, 'gravity': 0.18, 'hydro': 0.0}
{'type': 'Garden', 'atmosphere': 'Standard', 'diameter': 7500, 'density': 0.9, 'gravity': 0.85, 'hydro': 0.7}
{'type': 'Pre-Garden', 'atmosphere': 'Suffocating', 'diameter': 6500, 'density': 0.9, 'gravity': 0.74, 'hydro': 0.2}
{'type': 'Garden', 'atmosphere': 'Thin Tainted', 'diameter': 6500, 'density': 1.1, 'gravity': 0.9, 'hydro': 0.5}
{'type': 'Garden', 'atmosphere': 'Dense', 'diameter': 9000, 'density': 0.8, 'gravity': 0.91, 'hydro': 0.9}
{'type': 'Garden', 'atmosphere': 'Very Thin', 'diameter': 4500, 'density': 1.2, 'gravity': 0.68, 'hydro': 0.4}
{'type': 'Garden', 'atmosphere': 'Standard Tainted', 'diameter': 6500, 'density': 0.8, 'gravity': 0.66, 'hydro': 0.4}
{'type': 'Desert (Rock)', 'atmosphere': 'Trace', 'diameter': 4000, 'density': 0.7, 'gravity': 0.35, 'hydro': 0.0}
{'type': 'Garden', 'atmosphere': 'Dense Tainted', 'diameter': 7500, 'density': 1.0, 'gravity': 0.95, 'hydro': 0.6}
{'type': 'Garden', 'atmosphere': 'Dense', 'diameter': 7000, 'density': 1.0, 'gravity': 0.88, 'hydro': 0.5}
{'type': 'Garden', 'atmosphere': 'Standard Tainted', 'diameter': 6500, 'density': 0.9, 'gravity': 0.74, 'hydro': 0.8}
{'type': 'Garden', 'atmosphere': 'Very Thin', 'diameter': 6000, 'density': 0.9, 'gravity': 0.68, 'hydro': 0.4}
{'type': 'Garden', 'atmosphere': 'Thin', 'diameter': 5500, 'density': 1.0, 'gravity': 0.69, 'hydro': 0.4}
{'type': 'Garden', 'atmosphere': 'Standard', 'diameter': 6000, 'density': 1.0, 'gravity': 0.76, 'hydro': 0.5}
{'type': 'Glacier', 'atmosphere': 'Toxic', 'diameter': 7500, 'density': 0.8, 'gravity': 0.76, 'hydro': 0.0}
