C2312A9-5 | Lo Ni Po
X4664A9-5 | Ni
E4495B9-6 | 
E224000-0 | Ba
D466000-0 | Ba
D6656A9-A | Ag Ga
C7A5364-8 | Fl Lo Ni
C369588-5 | 
B559346-2 | Lo Lt Ni
EAA84B9-8 | Fl Ni
D300369-8 | Lo Ni Va
X89A4A9-3 | Lt Ni Wa
E647334-4 | Lo Lt Ni
D434144-5 | Lo Ni
D300598-8 | Na Va
C779568-5 | 
C322445-5 | Ni Po
D000246-8 | As Lo Ni Va
D79A577-6 | Wa
C2225B9-5 | Na Po
B558398-2 | Lo Lt Ni
E3114A9-8 | Ie Ni
D200456-8 | Ni Va
D8BA000-0 | Ba Fl Wa
C89A324-3 | Lo Lt Ni Wa
X569265-4 | Lo Lt Ni
C431000-0 | Ba Po
D344269-3 | Lo Lt Ni
D300287-8 | Lo Ni Va
B469585-1 | Lt
D89A598-5 | Wa
C633183-5 | Lo Ni Po
X531130-5 | Lo Ni Po
B410577-8 | Na
X574000-0 | Ba
D632273-5 | Lo Ni Po
C543599-6 | Po
D5793B7-5 | Lo Ni
D8B9266-9 | Fl Lo Ni
C200127-8 | Lo Ni Va
C666774-A | Ag Ga Ri
B865688-A | Ag Ga Ri
D343000-0 | Ba Po
X486144-3 | Lo Lt Ni
C6A7599-8 | Fl
B667799-A | Ag Ga Ri
X658453-2 | Lt Ni
D330194-6 | De Lo Ni Po
C9C6563-A | Fl
B434579-5 | 
C667789-A | Ag Ga Ri
X256248-3 | Lo Lt Ni
D566456-2 | Lt Ni
X521332-5 | Lo Ni Po
E400232-8 | Lo Ni Va
B100000-0 | Ba Va
X430236-5 | De Lo Ni Po
B653000-0 | Ba Po
D5354B9-5 | Ni
D631121-6 | Lo Ni Po
E78A489-3 | Lt Ni Wa
B8697B7-A | 
E757322-6 | Ga Lo Ni
C554396-4 | Lo Lt Ni
B9745A6-6 | Ag
E100231-8 | Lo Ni Va
E464425-4 | Lt Ni
B443210-3 | Lo Lt Ni Po
E246150-6 | Lo Ni
C799210-5 | Lo Ni
C778586-4 | Ag Lt
D545597-3 | Ag Lt
C5684A9-5 | Ni
C7735B9-3 | Lt
D643488-5 | Ni Po
D9A5599-8 | Fl
C778453-4 | Lt Ni
C659489-4 | Lt Ni
D6445A9-3 | Ag Lt
E653589-4 | Lt Po
X799269-3 | Lo Lt Ni
C57A576-5 | Wa
E7A4000-0 | Ba Fl
E465572-4 | Ag Lt
B364477-1 | Lt Ni
X436000-0 | Ba
X88A000-0 | Ba Wa
C659387-1 | Lo Lt Ni
C777100-3 | Lo Lt Ni
D400166-8 | Lo Ni Va
B100489-8 | Ni Va
E330000-0 | Ba De Po
C100231-8 | Lo Ni Va
C5325B8-5 | Na Po
D300144-8 | Lo Ni Va
X430100-5 | De Lo Ni Po
C201563-8 | Ie Na Va
E653234-3 | Lo Lt Ni Po
C685200-1 | Ga Lo Lt Ni
D000553-8 | As Na Va
E453000-0 | Ba Po
D737596-5 | 
B1005A8-8 | Na Va
E5FA166-8 | Fl Lo Ni Wa
E853131-3 | Lo Lt Ni Po
DAC7000-0 | Ba Fl
E200000-0 | Ba Va
B76A667-A | Ri Wa
D663787-A | Ri
C232145-5 | Lo Ni Po
X535189-5 | Lo Ni
E677140-6 | Lo Ni
C422477-6 | Ni Po
D474146-6 | Lo Ni
